,Feature name,Coefficients,p_values
0,Intercept,1.1097503102044162,
1,grade:A,-0.302992014518463,0.0
2,grade:B,-0.23641865519211014,0.0
3,grade:C,-0.17201647575565482,0.0
4,grade:D,-0.11984122074924371,0.0
5,grade:E,-0.06768169152024785,0.0
6,grade:F,-0.020458562188107085,0.004429335991499528
7,home_ownership:MORTGAGE,-0.006341084000107318,0.00264149211179876
8,home_ownership:NONE,-0.005539815821626428,0.9318836327427091
9,home_ownership:OTHER,-0.0024283890733941284,0.9335180051217655
10,home_ownership:OWN,-0.001612266411943254,0.6381375679742809
11,verification_status:Not Verified,4.698957525055823e-05,0.9848894061563107
12,verification_status:Source Verified,0.008963724698279997,7.889145942696629e-05
13,purpose:car,0.0007929486014763141,0.9328161844943095
14,purpose:debt_consolidation,0.012649279632792585,5.897363555273927e-07
15,purpose:educational,0.09643341816339644,1.8020157270814963e-06
16,purpose:home_improvement,0.01923706789909788,4.8442552998739785e-05
17,purpose:house,0.01606787349915457,0.16545180208252508
18,purpose:major_purchase,0.02984543156638134,2.2028934700157876e-05
19,purpose:medical,0.03962891980367319,5.22623375087683e-06
20,purpose:moving,0.04578715331676989,2.97138497451499e-06
21,purpose:other,0.03706647464085354,0.0
22,purpose:renewable_energy,0.07212681868326071,0.008892297539232041
23,purpose:small_business,0.05128430059749947,0.0
24,purpose:vacation,0.01874788408883662,0.11528397327830953
25,purpose:wedding,0.04350130919185826,0.00020347112017216062
26,initial_list_status:w,0.013181589283648619,6.109335703996521e-09
27,term_int,0.004551936190126928,0.0
28,emp_length_int,-0.0015919858137193486,4.3357339940541806e-10
29,mths_since_issue_d,-0.004305231572354683,0.0
30,mths_since_earliest_cr_line,-3.638897474152074e-05,0.0025146900448909104
31,funded_amnt,2.211725070402536e-06,0.007235623047658013
32,int_rate,-0.011726499609775284,0.0
33,installment,-6.864393129045957e-05,0.007439668639208863
34,annual_inc,4.964785846328645e-09,0.8590629790229285
35,dti,0.00028321276011087054,0.0363640440489823
36,delinq_2yrs,0.0004842413273943322,0.6940825788810701
37,inq_last_6mths,0.011317613942901306,0.0
38,mths_since_last_delinq,-0.000196567109603733,3.228439928504301e-06
39,mths_since_last_record,-5.093503180795563e-05,0.32843154064637003
40,open_acc,-0.0021424378768848174,4.218847493575595e-15
41,pub_rec,0.006790155732928219,0.04228458285208081
42,total_acc,0.0004520207975878837,0.00018834696735225975
43,acc_now_delinq,0.010009729483814829,0.49978294064139117
44,total_rev_hi_lim,2.1688455625890057e-07,8.052140672876185e-05
