,Feature name,Coefficients,p_values
0,Intercept,0.24070601805354758,
1,grade:A,-0.06826468517037727,0.0
2,grade:B,-0.05083300149992313,0.0
3,grade:C,-0.03747935990637888,0.0
4,grade:D,-0.02717280440081775,1.9686474672653276e-12
5,grade:E,-0.013160414974243233,0.0019169226408326523
6,grade:F,-0.005259126676424509,0.2749616032906226
7,home_ownership:MORTGAGE,0.002834187525352373,0.06031934834420016
8,home_ownership:NONE,0.14591574524389478,9.080237102865318e-05
9,home_ownership:OTHER,-0.009472643268705084,0.6438075758188373
10,home_ownership:OWN,0.005000600452205087,0.039634724030809476
11,verification_status:Not Verified,0.0010559878562049901,0.5530581057172936
12,verification_status:Source Verified,-0.0010108866155303965,0.5350695077268841
13,purpose:car,-0.002996834044675237,0.6339937324265839
14,purpose:debt_consolidation,8.205793595655918e-05,0.9646981582154242
15,purpose:educational,0.07626181911349886,5.351231235906084e-09
16,purpose:home_improvement,-0.003709476514579854,0.2720130795879947
17,purpose:house,-0.0037846428176259283,0.6202013990625352
18,purpose:major_purchase,0.0029136426771477846,0.5377990780763846
19,purpose:medical,0.010791367324118761,0.07382918354422485
20,purpose:moving,0.013990875938213342,0.03859538128623652
21,purpose:other,0.004843035496544632,0.10877885785772423
22,purpose:renewable_energy,0.02421211780737994,0.14223169964136706
23,purpose:small_business,0.0006236575217450321,0.8687087921284049
24,purpose:vacation,-0.0030219645407890115,0.7295032608882575
25,purpose:wedding,0.0203470885432162,0.0055432347277657446
26,initial_list_status:w,0.014649345836497624,4.440892098500626e-15
27,term_int,0.0003315123278318819,0.020469028708044235
28,emp_length_int,8.839198882583506e-05,0.6307320013326598
29,mths_since_issue_d,-0.001521469581106069,0.0
30,mths_since_earliest_cr_line,3.3954856306406365e-05,0.00011063647636344598
31,funded_amnt,-2.182303231999283e-07,0.6998543181502659
32,int_rate,-0.0025445994090156476,1.9095836023552692e-14
33,installment,-1.0386061980030763e-05,0.5564942192938394
34,annual_inc,6.396260334926018e-08,0.0012931814773289307
35,dti,0.00017758346467909624,0.06895092257929902
36,delinq_2yrs,0.001759397746639781,0.050241377113714236
37,inq_last_6mths,0.0012735531179161536,0.0182433798474666
38,mths_since_last_delinq,-1.0380736100477575e-06,0.9723988000707358
39,mths_since_last_record,-5.538534239548214e-05,0.18246555202214987
40,open_acc,-0.0011966399232752403,1.359755641416882e-09
41,pub_rec,0.003433791660598453,0.20977308761795577
42,total_acc,0.0004771139951644564,4.952077770070673e-08
43,acc_now_delinq,0.00422883226145123,0.6620642508332479
44,total_rev_hi_lim,2.2629020099071417e-07,2.6190575930229443e-08
