,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
46,46,mths_since_earliest_cr_line:266-355,0.08677470409591312,0.00017149838580876362,mths_since_earliest_cr_line,6.598951398147846,7.0,0.4010486018521542,7.0
47,47,mths_since_earliest_cr_line:>355,0.10798131139321,5.4142970012408346e-05,mths_since_earliest_cr_line,8.211649157621514,8.0,-0.2116491576215136,8.0
48,48,inq_last_6mths:0,0.7492560761088628,1.9074833219516668e-10,inq_last_6mths,56.978637755357255,57.0,0.021362244642745054,57.0
49,49,inq_last_6mths:1-2,0.5888117514679944,5.405287059611668e-07,inq_last_6mths,44.77733656459225,45.0,0.22266343540775324,45.0
50,50,inq_last_6mths:3-6,0.39290838020002655,0.0008702989436871021,inq_last_6mths,29.879483103729584,30.0,0.1205168962704164,30.0
51,51,acc_now_delinq:0,-0.11946765672090093,0.25604543013149683,acc_now_delinq,-9.085150661884722,-9.0,0.08515066188472176,-9.0
52,52,annual_inc:20K-30K,-0.09192376461137344,0.03448845456673445,annual_inc,-6.99052173470685,-7.0,-0.009478265293149768,-7.0
53,53,annual_inc:30K-40K,-0.044301256814136915,0.2891613350717829,annual_inc,-3.3689753671787415,-3.0,0.36897536717874146,-3.0
54,54,annual_inc:40K-50K,0.05988193611085988,0.151692923060789,annual_inc,4.553838473315748,5.0,0.4461615266842518,5.0
55,55,annual_inc:50K-60K,0.11015269889201987,0.009095112280702216,annual_inc,8.376776549532343,8.0,-0.37677654953234274,8.0
56,56,annual_inc:60K-70K,0.20981398731543732,1.187656537447688e-06,annual_inc,15.95571335415696,16.0,0.04428664584304087,16.0
57,57,annual_inc:70K-80K,0.27947255219148964,2.1279240719881115e-10,annual_inc,21.253034605448295,21.0,-0.2530346054482955,21.0
58,58,annual_inc:80K-90K,0.3549625166379844,8.889031523504147e-15,annual_inc,26.993815995837263,27.0,0.006184004162737011,27.0
59,59,annual_inc:90K-100K,0.3666417390691354,8.519738902118436e-15,annual_inc,27.881985215131134,28.0,0.11801478486886552,28.0
60,60,annual_inc:100K-120K,0.436810271644839,1.0877552549694818e-20,annual_inc,33.2180879534893,33.0,-0.21808795348930232,33.0
61,61,annual_inc:120K-140K,0.4999767131875909,3.060990051050552e-21,annual_inc,38.02170304013757,38.0,-0.02170304013756663,38.0
62,62,annual_inc:>140K,0.46226264474965256,2.431361084417895e-21,annual_inc,35.153663243962704,35.0,-0.15366324396270414,35.0
63,63,mths_since_last_delinq:0-3,-0.09086340637956906,0.08971220872250314,mths_since_last_delinq,-6.909884727537469,-7.0,-0.0901152724625307,-7.0
64,64,mths_since_last_delinq:4-30,0.028219776178138672,0.05029272005591977,mths_since_last_delinq,2.146027847704502,2.0,-0.14602784770450183,2.0
65,65,mths_since_last_delinq:31-56,0.05521073304439433,0.0007753484236062326,mths_since_last_delinq,4.198607737266057,4.0,-0.19860773726605707,4.0
66,66,mths_since_last_delinq:>=57,0.04542714532949232,0.024764772617130226,mths_since_last_delinq,3.454595752404729,3.0,-0.45459575240472905,3.0
67,67,dti:<=1.4,-0.019087868639218297,0.9150318218547214,dti,-1.4515741512089397,-1.0,0.45157415120893973,-1.0
68,68,dti:1.4-3.5,0.12270720006575787,0.47918413467397636,dti,9.331508045728699,9.0,-0.3315080457286985,9.0
69,69,dti:3.5-7.7,0.13221878101910553,0.43724107027012926,dti,10.054834746575912,10.0,-0.05483474657591181,10.0
70,70,dti:7.7-10.5,0.08210884068787822,0.6295895506349253,dti,6.244126726824432,6.0,-0.24412672682443226,6.0
71,71,dti:10.5-16.1,-0.0011141745237505708,0.9947564637901365,dti,-0.08472957191715529,-0.0,0.08472957191715529,-0.0
72,72,dti:16.1-20.3,-0.0936486397421786,0.5808709010561037,dti,-7.1216932238481565,-7.0,0.1216932238481565,-7.0
73,73,dti:20.3-21.7,-0.10583366170269205,0.535072433866185,dti,-8.048326953580224,-8.0,0.048326953580223986,-8.0
74,74,dti:21.7-22.4,-0.15038584361643506,0.38229559709549665,dti,-11.43638440872605,-11.0,0.43638440872605067,-11.0
75,75,dti:22.4-35,-0.19626865483482991,0.24691996971469,dti,-14.925632161226778,-15.0,-0.07436783877322206,-15.0
76,76,dti:>35,-0.30816222211320493,0.08673331694506967,dti,-23.434796438171382,-23.0,0.43479643817138225,-23.0
77,77,mths_since_last_record:0-2,-0.40147367915145166,2.5361322925911667e-06,mths_since_last_record,-30.530847946513568,-31.0,-0.4691520534864324,-31.0
78,78,mths_since_last_record:3-20,0.0022122159176812682,0.980255411540604,mths_since_last_record,0.16823226855204304,0.0,-0.16823226855204304,0.0
79,79,mths_since_last_record:21-31,0.1155276714904173,0.15392489875217166,mths_since_last_record,8.785526810483928,9.0,0.21447318951607208,9.0
80,80,mths_since_last_record:32-80,0.21982232205634172,6.502200080001818e-17,mths_since_last_record,16.716816664386897,17.0,0.2831833356131028,17.0
81,81,mths_since_last_record:81-86,-0.10270111006136536,0.10723194349252915,mths_since_last_record,-7.81010596223631,-8.0,-0.18989403776368974,-8.0
82,82,mths_since_last_record:>=86,-0.0772928896349852,0.0006957560528610622,mths_since_last_record,-5.877888348197721,-6.0,-0.12211165180227912,-6.0
83,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
84,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
85,2,addr_state:ND_NE_IA_NV_HI_FL_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
86,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
87,4,purpose:edu_sb_re_m_h_other,0.0,,purpose,0.0,0.0,0.0,0.0
88,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
89,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
90,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
91,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
92,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
93,10,mths_since_earliest_cr_line:<142,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
94,11,delinq_2yrs:>=4,0.0,,delinq_2yrs,0.0,0.0,0.0,0.0
95,12,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
96,13,open_acc:0,0.0,,open_acc,0.0,0.0,0.0,0.0
97,14,pub_rec:>=5,0.0,,pub_rec,0.0,0.0,0.0,0.0
98,15,total_acc:<=25,0.0,,total_acc,0.0,0.0,0.0,0.0
99,16,acc_now_delinq:>=1,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
100,17,total_rev_hi_lim<=5K,0.0,,total_rev_hi_lim<=5K,0.0,0.0,0.0,0.0
101,18,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
102,19,mths_since_last_delinq:Missing,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
103,20,dti>35,0.0,,dti>35,0.0,0.0,0.0,0.0
104,21,mths_since_last_record:Missing,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
