,Feature name,Coefficients,p_values
0,Intercept,-0.24352668410473138,
1,grade:A,-0.40253292082897063,1.2059394174792159e-05
2,grade:B,-0.2731172977455309,0.00022667695647455086
3,grade:C,-0.2106493595328634,0.0007528970651912361
4,grade:D,-0.11723679779344505,0.02897176833988706
5,grade:E,-0.006381305933889475,0.8933196024675948
6,grade:F,-0.003583375336339129,0.9383283225268485
7,home_ownership:MORTGAGE,-0.004453528586305942,0.7420690202120248
8,home_ownership:NONE,2.4451299276806364,1.9987961396007031e-25
9,home_ownership:OTHER,0.17847686613218153,0.3736549259186559
10,home_ownership:OWN,0.034561748021841664,0.11018036837756195
11,verification_status:Not Verified,0.020316830369597406,0.21452325811761885
12,verification_status:Source Verified,0.015309892010738105,0.29601087560566386
13,purpose:car,0.010068197377762832,0.862992055547847
14,purpose:debt_consolidation,-0.01608562355732556,0.3321336065577821
15,purpose:educational,0.6803741480319045,5.867044843838204e-08
16,purpose:home_improvement,0.01620302842949267,0.5923400698681041
17,purpose:house,-0.01760235872873375,0.8023314088373372
18,purpose:major_purchase,0.022387514692179946,0.6033941919214858
19,purpose:medical,0.06300926104927036,0.24212073391824684
20,purpose:moving,0.1039144704019754,0.0852470407541954
21,purpose:other,0.057325042892468786,0.034379737938201926
22,purpose:renewable_energy,0.17584748137213063,0.24399782291754057
23,purpose:small_business,0.062053164446133215,0.07354917506354135
24,purpose:vacation,-0.01080803939451471,0.8911142675181813
25,purpose:wedding,0.2160529331659673,0.0013116694416794928
26,initial_list_status:w,0.07580676001068815,2.958623024634309e-06
27,term_int,0.004371729895427325,0.001387910078736845
28,emp_length_int,-0.0003180690954904685,0.8466583033845515
29,mths_since_issue_d,-0.0245278732591851,0.0
30,mths_since_earliest_cr_line,-1.7671088614657537e-05,0.8224561455702076
31,funded_amnt,-1.9266325201387468e-05,0.00032020194139832376
32,int_rate,-0.016559437471706413,0.0005629803739899407
33,installment,0.00030753952979507376,0.0652132871753548
34,annual_inc,6.229100225337157e-07,0.0002989138462190786
35,dti,-0.00029236841756109837,0.7409861447859385
36,delinq_2yrs,0.03383285887681846,9.50540486732175e-06
37,inq_last_6mths,0.01043226811144776,0.040122482489136246
38,mths_since_last_delinq,0.0003106664415791775,0.24867087403389954
39,mths_since_last_record,-0.0004431278861640024,0.21846419635380276
40,open_acc,-0.005708321864770222,0.0014009603763356737
41,pub_rec,0.03715615639672949,0.10743708434166657
42,total_acc,2.5351871533230816e-05,0.9743162950611753
43,acc_now_delinq,0.056785847875287156,0.4782820962783897
44,total_rev_hi_lim,2.2817010480471625e-06,3.765500443358215e-11
