,Feature name,Coefficients,p_values
0,Intercept,-0.00039113247689025725,
1,grade:A,-6.0374877160891544e-05,0.9994371150434802
2,grade:B,-0.0002613631403099095,0.996979481520881
3,grade:C,-0.0004077053387449354,0.9951104768914358
4,grade:D,4.145266463062635e-05,0.9995222058537258
5,grade:E,4.8248199477304686e-05,0.9994956763055726
6,grade:F,0.0002125441193654246,0.9980663372730855
7,home_ownership:MORTGAGE,-9.100704061747706e-05,0.997161309238405
8,home_ownership:NONE,2.4348719812108613e-06,0.99999758164586
9,home_ownership:OTHER,-2.651816499299314e-07,0.9999994977972823
10,home_ownership:OWN,-1.9511071764181024e-05,0.9996254598576542
11,verification_status:Not Verified,-0.0003242145350605518,0.9914572663300419
12,verification_status:Source Verified,-0.0004753557297154651,0.9861632115124305
13,purpose:car,2.6777089599476714e-05,0.9998188956447218
14,purpose:debt_consolidation,-0.00045303611701501544,0.9881450315022603
15,purpose:educational,-1.8531224052256046e-06,0.9999953312234421
16,purpose:home_improvement,2.424718707926657e-05,0.9996645252097658
17,purpose:house,2.9035198830150954e-05,0.9998401684469774
18,purpose:major_purchase,4.053462525428363e-05,0.9996303277051075
19,purpose:medical,1.4730256660841384e-06,0.9999890040253403
20,purpose:moving,5.980619064698555e-06,0.9999606425929067
21,purpose:other,8.426956717248276e-05,0.9987372904894649
22,purpose:renewable_energy,8.329143965745244e-06,0.9999807139291753
23,purpose:small_business,0.00012004419612020745,0.9986862547753289
24,purpose:vacation,9.372803557063514e-06,0.9999486503828804
25,purpose:wedding,2.462715373658799e-05,0.9998685275226785
26,initial_list_status:w,-0.002088100067925646,0.9384599033579928
27,term_int,-0.009740445057433857,0.000112074237399498
28,emp_length_int,-0.0012354783907635863,0.6891995111092828
29,mths_since_issue_d,0.025471811350066497,4.647104890471625e-172
30,mths_since_earliest_cr_line,-0.0012706185977931841,2.6001788377318585e-18
31,funded_amnt,4.937862308574166e-05,9.337263295176572e-07
32,int_rate,-0.00022965502599319774,0.9687759068809154
33,installment,-0.0010283414328085651,0.0010139269256510806
34,annual_inc,5.007515221668355e-07,0.15488698877708532
35,dti,-0.014541913085748405,8.866559962616933e-19
36,delinq_2yrs,-7.557806632298737e-05,0.9959117600839792
37,inq_last_6mths,0.00032503789794794655,0.9730474342621867
38,mths_since_last_delinq,2.1207026572593774e-05,0.9669572503635789
39,mths_since_last_record,-0.0039223416563940044,3.1127165409526907e-10
40,open_acc,-0.005575901466177247,0.09101961358776137
41,pub_rec,-9.589538666308588e-05,0.998076847627495
42,total_acc,-0.012208713068692659,8.351037972433636e-17
43,acc_now_delinq,1.1583222770018025e-05,0.9999474595296743
44,total_rev_hi_lim,-1.4396764924245795e-06,0.028960183646082036
